unit,year,actual_crime,predicted_crime,used_features,Model
Wielkopolskie,2023,18.360000610351562,19.121009826660156,"['unemployment', 'avg_salary', 'education_exp', 'migration_balance', 'inflation']",LSTM_exo_only
Wielkopolskie,2024,18.549999237060547,18.705181121826172,"['unemployment', 'avg_salary', 'education_exp', 'migration_balance', 'inflation']",LSTM_exo_only
Zachodniopomorskie,2021,24.110000610351562,25.23963165283203,"['unemployment', 'population_density', 'avg_salary', 'education_exp', 'inflation']",LSTM_exo_only
Zachodniopomorskie,2022,22.280000686645508,25.283069610595703,"['unemployment', 'population_density', 'avg_salary', 'education_exp', 'inflation']",LSTM_exo_only
Zachodniopomorskie,2023,21.270000457763672,27.706829071044922,"['unemployment', 'population_density', 'avg_salary', 'education_exp', 'inflation']",LSTM_exo_only
Zachodniopomorskie,2024,20.329999923706055,27.690561294555664,"['unemployment', 'population_density', 'avg_salary', 'education_exp', 'inflation']",LSTM_exo_only
Łódzkie,2021,22.799999237060547,21.353736877441406,"['unemployment', 'public_safety_exp', 'tourism_usage']",LSTM_exo_only
Łódzkie,2022,19.3799991607666,19.65221405029297,"['unemployment', 'public_safety_exp', 'tourism_usage']",LSTM_exo_only
Łódzkie,2023,20.989999771118164,18.82174301147461,"['unemployment', 'public_safety_exp', 'tourism_usage']",LSTM_exo_only
Łódzkie,2024,19.239999771118164,18.399517059326172,"['unemployment', 'public_safety_exp', 'tourism_usage']",LSTM_exo_only
Śląskie,2021,27.59000015258789,24.52828025817871,"['unemployment', 'avg_salary', 'public_safety_exp', 'inflation']",LSTM_exo_only
Śląskie,2022,35.08000183105469,24.16969871520996,"['unemployment', 'avg_salary', 'public_safety_exp', 'inflation']",LSTM_exo_only
Śląskie,2023,25.940000534057617,24.97518539428711,"['unemployment', 'avg_salary', 'public_safety_exp', 'inflation']",LSTM_exo_only
Śląskie,2024,24.239999771118164,24.815330505371094,"['unemployment', 'avg_salary', 'public_safety_exp', 'inflation']",LSTM_exo_only
Świętokrzyskie,2021,18.850000381469727,18.48691749572754,"['unemployment', 'avg_salary', 'migration_balance', 'inflation']",LSTM_exo_only
Świętokrzyskie,2022,19.770000457763672,18.690696716308594,"['unemployment', 'avg_salary', 'migration_balance', 'inflation']",LSTM_exo_only
Świętokrzyskie,2023,17.209999084472656,21.11253547668457,"['unemployment', 'avg_salary', 'migration_balance', 'inflation']",LSTM_exo_only
Świętokrzyskie,2024,15.520000457763672,20.789409637451172,"['unemployment', 'avg_salary', 'migration_balance', 'inflation']",LSTM_exo_only
