unemployment,population_density,avg_salary,public_safety_exp,education_exp,migration_balance,tourism_usage,inflation,year,unit,predicted_crime,scenario
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,34.0,103.3,2028,Dolnośląskie,26.522814920634914,tourism_usage_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,34.0,103.3,2029,Dolnośląskie,26.522814920634914,tourism_usage_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,51.0,103.3,2025,Dolnośląskie,26.453629920634917,tourism_usage_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,51.0,103.3,2026,Dolnośląskie,26.453629920634917,tourism_usage_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,51.0,103.3,2027,Dolnośląskie,26.453629920634917,tourism_usage_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,51.0,103.3,2028,Dolnośląskie,26.453629920634917,tourism_usage_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,51.0,103.3,2029,Dolnośląskie,26.453629920634917,tourism_usage_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,82.64,2025,Dolnośląskie,26.43048349206349,inflation_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,82.64,2026,Dolnośląskie,26.43048349206349,inflation_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,82.64,2027,Dolnośląskie,26.43048349206349,inflation_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,82.64,2028,Dolnośląskie,26.43048349206349,inflation_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,82.64,2029,Dolnośląskie,26.43048349206349,inflation_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,123.96,2025,Dolnośląskie,26.665620396825396,inflation_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,123.96,2026,Dolnośląskie,26.665620396825396,inflation_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,123.96,2027,Dolnośląskie,26.665620396825396,inflation_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,123.96,2028,Dolnośląskie,26.665620396825396,inflation_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,42.5,123.96,2029,Dolnośląskie,26.665620396825396,inflation_x1.2
7.3,110.4,7710.78,141742115.85,869075830.34,-930.0,37.7,103.6,2025,Kujawsko-Pomorskie,19.61800753968254,Base_Scenario_Unchanged
7.3,110.4,7710.78,141742115.85,869075830.34,-930.0,37.7,103.6,2026,Kujawsko-Pomorskie,19.61800753968254,Base_Scenario_Unchanged
7.3,110.4,7710.78,141742115.85,869075830.34,-930.0,37.7,103.6,2027,Kujawsko-Pomorskie,19.61800753968254,Base_Scenario_Unchanged
