iter	Passed	Remaining
1676	336	265
1677	337	265
1678	337	265
1679	337	265
1680	337	264
1681	337	264
1682	337	264
1683	338	264
1684	338	264
1685	338	263
1686	338	263
1687	338	263
1688	339	263
1689	339	262
1690	339	262
1691	339	262
1692	340	262
1693	340	262
1694	340	262
1695	340	261
1696	340	261
1697	341	261
1698	341	261
1699	341	261
1700	342	261
1701	342	261
1702	342	260
1703	342	260
1704	343	260
1705	343	260
1706	343	260
1707	343	260
1708	344	259
1709	344	259
1710	344	259
1711	344	259
1712	345	259
1713	345	259
1714	345	258
1715	345	258
1716	345	258
1717	346	258
1718	346	258
1719	346	257
1720	346	257
1721	346	257
1722	347	257
1723	347	257
1724	347	256
1725	347	256
1726	347	256
1727	348	256
1728	348	255
1729	348	255
1730	348	255
1731	348	255
1732	348	255
1733	349	254
1734	349	254
1735	349	254
1736	349	254
1737	349	254
1738	350	253
1739	350	253
1740	350	253
1741	350	253
1742	350	253
1743	351	252
1744	351	252
1745	351	252
1746	351	252
1747	351	252
1748	352	251
1749	352	251
1750	352	251
1751	352	251
1752	352	250
1753	352	250
1754	353	250
1755	353	250
1756	353	250
1757	353	249
1758	353	249
1759	354	249
1760	354	249
1761	354	249
1762	354	248
1763	354	248
1764	355	248
1765	355	248
1766	355	247
1767	355	247
1768	355	247
1769	355	247
1770	356	247
1771	356	246
1772	356	246
1773	356	246
1774	356	246
1775	357	246
1776	357	245
1777	357	245
1778	357	245
1779	357	245
1780	357	245
1781	358	244
1782	358	244
1783	358	244
1784	358	244
1785	358	243
1786	359	243
1787	359	243
1788	359	243
1789	359	243
1790	359	242
1791	359	242
1792	360	242
1793	360	242
1794	360	241
1795	360	241
1796	360	241
1797	360	241
1798	361	241
1799	361	240
1800	361	240
1801	361	240
1802	361	240
1803	361	239
1804	362	239
1805	362	239
1806	362	239
1807	362	239
1808	362	238
1809	363	238
1810	363	238
1811	363	238
1812	363	238
1813	363	237
1814	364	237
1815	364	237
1816	364	237
1817	364	237
1818	364	236
1819	365	236
1820	365	236
1821	365	236
1822	365	236
1823	365	235
1824	365	235
1825	366	235
1826	366	235
1827	366	235
1828	366	234
1829	367	234
1830	367	234
1831	367	234
1832	367	234
1833	367	233
1834	368	233
1835	368	233
1836	368	233
1837	368	233
1838	368	232
1839	369	232
1840	369	232
1841	369	232
1842	369	232
1843	369	231
1844	370	231
1845	370	231
1846	370	231
1847	370	231
1848	370	230
1849	371	230
1850	371	230
1851	371	230
1852	371	230
1853	371	229
1854	371	229
1855	372	229
1856	372	229
1857	372	228
1858	372	228
1859	372	228
1860	373	228
1861	373	228
1862	373	227
1863	373	227
1864	373	227
1865	374	227
1866	374	227
1867	374	226
1868	374	226
1869	374	226
1870	375	226
1871	375	226
1872	375	225
1873	375	225
1874	375	225
1875	375	225
1876	376	225
1877	376	224
1878	376	224
1879	376	224
1880	376	224
1881	377	223
1882	377	223
1883	377	223
1884	377	223
1885	377	223
1886	377	222
1887	378	222
1888	378	222
1889	378	222
1890	378	222
1891	378	221
1892	379	221
1893	379	221
1894	379	221
1895	379	221
1896	379	220
1897	380	220
1898	380	220
1899	380	220
1900	380	220
1901	380	219
1902	381	219
1903	381	219
1904	381	219
1905	381	219
1906	381	218
1907	381	218
1908	382	218
1909	382	218
1910	382	217
1911	382	217
1912	382	217
1913	383	217
1914	383	217
1915	383	216
1916	383	216
1917	383	216
1918	384	216
1919	384	216
1920	384	215
1921	384	215
1922	384	215
1923	384	215
1924	385	215
1925	385	214
1926	385	214
1927	385	214
1928	385	214
1929	386	214
1930	386	213
1931	386	213
1932	386	213
1933	386	213
1934	387	213
1935	387	212
1936	387	212
1937	387	212
1938	387	212
1939	387	211
1940	388	211
1941	388	211
1942	388	211
1943	388	211
1944	388	210
1945	389	210
1946	389	210
1947	389	210
1948	389	210
1949	389	209
1950	389	209
1951	390	209
1952	390	209
1953	390	209
1954	390	208
1955	390	208
1956	391	208
1957	391	208
1958	391	208
1959	391	207
1960	392	207
1961	392	207
1962	392	207
1963	392	207
1964	392	206
1965	393	206
1966	393	206
1967	393	206
1968	393	206
1969	394	206
1970	394	205
1971	394	205
1972	394	205
1973	395	205
1974	395	205
1975	395	204
1976	395	204
1977	395	204
1978	395	204
1979	396	204
1980	396	203
1981	396	203
1982	396	203
1983	397	203
1984	397	203
1985	397	202
1986	397	202
1987	397	202
1988	398	202
1989	398	202
1990	398	201
1991	398	201
1992	398	201
1993	399	201
1994	399	201
1995	399	200
1996	399	200
1997	399	200
1998	400	200
1999	400	200
2000	400	199
2001	400	199
2002	400	199
2003	400	199
2004	401	199
2005	401	198
2006	401	198
2007	401	198
2008	402	198
2009	402	198
2010	402	197
2011	402	197
2012	402	197
2013	402	197
2014	403	197
2015	403	196
2016	403	196
2017	403	196
2018	403	196
2019	404	196
2020	404	195
2021	404	195
2022	404	195
2023	404	195
2024	404	194
2025	405	194
2026	405	194
2027	405	194
2028	405	194
2029	406	194
2030	406	193
2031	406	193
2032	406	193
2033	406	193
2034	406	192
2035	407	192
2036	407	192
2037	407	192
2038	407	192
2039	408	192
2040	408	191
2041	408	191
2042	408	191
2043	408	191
2044	409	191
2045	409	190
2046	409	190
2047	409	190
2048	410	190
2049	410	190
2050	410	189
2051	410	189
2052	410	189
2053	411	189
2054	411	189
2055	411	188
2056	411	188
2057	411	188
2058	412	188
2059	412	188
2060	412	187
2061	412	187
2062	412	187
2063	412	187
2064	413	187
2065	413	186
2066	413	186
2067	413	186
2068	413	186
2069	414	186
2070	414	185
2071	414	185
2072	414	185
2073	414	185
2074	415	185
2075	415	184
2076	415	184
2077	415	184
2078	415	184
2079	416	184
2080	416	183
2081	416	183
2082	416	183
2083	416	183
2084	417	183
2085	417	182
2086	417	182
2087	417	182
2088	417	182
2089	417	181
2090	418	181
2091	418	181
2092	418	181
2093	418	181
2094	418	180
2095	419	180
2096	419	180
2097	419	180
2098	419	180
2099	419	179
2100	420	179
2101	420	179
2102	420	179
2103	420	179
2104	420	178
2105	421	178
2106	421	178
2107	421	178
2108	421	178
2109	421	177
2110	422	177
2111	422	177
2112	422	177
2113	422	177
2114	422	176
2115	423	176
2116	423	176
2117	423	176
2118	423	176
2119	423	175
